N°,Fecha,Lugar,Actor o grupo social emisor,Institución y Cargo actor o grupo social emisor,Actor o grupo social Involucrado 1,Institución y Cargo actor o grupo social involucrado 1,Acontecimiento,Posición,Área,"Studio 5 – Studio 5 Noticias – Rubén Valdés Alvarado, Paola Reynaga (97.7)",Ondas del Huallaga – Noticiero Ondas del Huallaga - José Carlos Ponce de León(88.9),"Radio Noticias del Perú – Radio Noticias Huánuco Edición Central – Bequer Bejarano, Nuvith Condezo Celis, Juan Malpartida (102.5)","Primer Plano - RNP - Ítalo Guillermo, Silvia Salas (102.5)",Radio Nacional – Cuatro Suyos – Ronald Cáceres / Manuel Bejarano (100.9),Radio Sinaí - Opinión Libre - Jaime Herrera  Echevarria (90.1),Radio Rumba Perú - RTL Noticias - Koko Giles/ Juan Manuel (95.3),Radio Pulsar - El Informante - Miguel Angel Domínguez (100.5),Radio Llata - Punto de Encuentro - Carlos Chavez Firma(92.3),Radio Paraiso 96.9 - Aires de Tradición Andina - Hector Facundo Damazo,Panorama Cultural Oyonense - Maximo Samaniego - Radio Oyon (102.5),Noticiero Musical - Hector Facundo Damazo - Radio Sol - Oyon,Radio La Altura 7-9am,Radio UNHEVAL – Noticiero (96.1)
5375,2023-04-25,Ayacucho,José Ponce de León,Periodista,Antonio Pulgar,Gobernador regional de Huánuco,"Informó que el gobernador regional de Huánuco, Antonio Pulgar, anunció inversión de 400 millones de soles para hospital oncológico.",Gris,Salud,1.0,1.0,,,,1.0,,,,,,,,
5376,2023-04-25,Ayacucho,José Ponce de León,Periodista,Antonio Pulgar,Gobernador regional de Huánuco,"Mencionó que durante la presentación del informe de 100 días de gestión el gobernador regional de Huánuco, Antonio Pulgar, afirmó que la mayoría de proyectos están en marcha.",Gris,Gobierno Regional,1.0,1.0,,,,1.0,,,,,,,,
5377,2023-04-25,Ayacucho,José Ponce de León,Periodista,Gobierno Regional de Huánuco,,Reveló que el Gobierno Regional de Huánuco transfirió 32 millones de soles a municipalidades para ejecutar obras.,Gris,Gobierno Regional,1.0,1.0,,,,1.0,,,,,,,,
5378,2023-04-25,Ayacucho,José Ponce de León,Periodista,Ministerio de Salud,,"Informó que el Ministerio de Salud proveyó 4 cirujanos, 2 anestesiólogos y 5 enfermeras para cumplir meta de pacientes operados en Huánuco.",Gris,Salud,1.0,1.0,,,,1.0,,,,,,,,
5379,2023-04-25,Ayacucho,José Ponce de León,Periodista,,,Mencionó que las autoridades de la provincia de Leoncio Prado se reunirán este 19 de mayo para fijar posición contra concesiones mineras.,Gris,Minería,1.0,1.0,,,,1.0,,,,,,,,
5380,2023-04-25,Ayacucho,José Ponce de León,Periodista,Superintendencia Nacional de Fiscalización Laboral (SUNAFIL),,"Reveló que hay municipalidades que incumplen el sistema de gestión de seguridad y salud en el trabajo, según advirtió la Superintendencia Nacional de Fiscalización Laboral (SUNAFIL).",Gris,Trabajo,1.0,1.0,,,,1.0,,,,,,,,
5381,2023-04-25,Ayacucho,José Ponce de León,Periodista,Antonio Pulgar,Gobernador regional de Huánuco,"Mencionó que con más de 1000 millones de soles se pretende asfaltar el llamado Corredor Papero de la vía Rancho – Panao – Chaglla – Rumichaca, anunció el gobernador regional de Huánuco, Antonio Pulgar.",Gris,Transporte,,1.0,,,,,,,,,,,,
5382,2023-04-25,Ayacucho,Mauro Quispe,Corresponsal de Ondas del Huallaga,,,"Desde la provincia de Pachitea, comentó que la población está incomoda del mal estado de la carretera que une la ciudad de Huánuco con los distritos de Umari y Chaglla (ambos en Pachitea), por lo que preguntó si las autoridades escuchan los reclamos de la gente y solucionan el problema de esta carretera que presenta huecos y grietas.",Celeste,Transporte,,1.0,,,,,,,,,,,,
5383,2023-04-25,Ayacucho,José Floremildo Caqui Acosta,Alcalde del distrito de Puños,,,"Comentó que en Puños se llevó a cabo el Presupuesto Participativo donde la población presentó sus proyectos, varios de ellos relacionados al mejoramiento de vías de comunicación y asfaltado en los pueblos alejados. Por otro lado, recordó que en la anterior gestión se logró el saneamiento físico legal del terreno del centro de salud de Puños, y actualmente se está en diálogo con la empresa privada Antamina para que construya esta obra anhelada por el distrito. ",Celeste,Presupuesto,,1.0,,,,,,,,,,,,
5384,2023-04-25,Ayacucho,Antonio Pulgar,Gobernador regional de Huánuco,Gobierno Regional de Huánuco,,"Comentó que lo expuesto en su informe de 100 días fueron las cosas que se han ido resolviendo desde el inicio de su gestión, y que hizo falta mencionar muchos otros proyectos que se ejecutarán en los próximos meses. Por otro lado, aseguró que el proyecto de agua y desagüe de la provincia de Ambo será culminado el presente año, proyecto que tiene 11 años sin concluirse y sirvió como caja chica para las anteriores gestiones del Gobierno Regional que se tiraron la plata.",Celeste,Gobierno Regional,,1.0,,,,,,,,,,,,
